,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
997,04013811900,,,,,,,,,,,,,,,,,
998,04013812000,226294.0,WinCo Foods 129,222 W Willis Rd,,Chandler,AZ,85286.0,,MARICOPA,-111.84508999999998,33.283916,226295.0,40100000000000.0,GroceryStore,,,
999,04013812100,73022.0,Walmart SuperCenter 2671,1175 S Arizona Ave,,Chandler,AZ,85286.0,6504.0,MARICOPA,-111.84158000000001,33.289379,73023.0,40100000000000.0,GroceryStore,,,
1000,04013812200,244018.0,ALDI 79156,2844 S Alma School Rd,,Chandler,AZ,85286.0,4388.0,MARICOPA,-111.85876,33.264148999999996,244019.0,40100000000000.0,GroceryStore,,,
1001,04013812200,48917.0,FRY'S 69,2010 S Alma School Rd,,Chandler,AZ,85286.0,7072.0,MARICOPA,-111.85883999999999,33.276127,48918.0,40100000000000.0,GroceryStore,,,
1002,04013812300,91773.0,Sprouts Farmers Market 15,2855 S Alma School Rd,,Chandler,AZ,85286.0,4401.0,MARICOPA,-111.85841,33.264441999999995,91774.0,40100000000000.0,GroceryStore,,,
1003,04013812400,13337.0,Target Store T-2747,3777 S Arizona Ave,,Chandler,AZ,85248.0,,MARICOPA,-111.84111999999999,33.251616999999996,13338.0,40100000000000.0,GroceryStore,,,
1004,04013812400,79500.0,Walmart SuperCenter 3360,2750 E Germann Rd,,Chandler,AZ,85286.0,1403.0,MARICOPA,-111.79498999999998,33.279434,79501.0,40100000000000.0,GroceryStore,,,
1005,04013812500,,,,,,,,,,,,,,,,,
1006,04013812600,,,,,,,,,,,,,,,,,
1007,04013812700,149170.0,ALBERTSONS  981,3145 S Alma School Rd,,Chandler,AZ,85248.0,3756.0,MARICOPA,-111.85838000000001,33.260315000000006,149171.0,40100000000000.0,GroceryStore,,,
1008,04013812800,,,,,,,,,,,,,,,,,
1009,04013812900,103356.0,SAFEWAY  1566,4970 S Alma School Rd,,Chandler,AZ,85248.0,5502.0,MARICOPA,-111.85888999999999,33.234446999999996,103357.0,40100000000000.0,GroceryStore,,,
1010,04013813000,,,,,,,,,,,,,,,,,
1011,04013813100,189363.0,Fry's 681,2929 E Ocotillo Rd,,Chandler,AZ,85249.0,5595.0,MARICOPA,-111.84109,33.247555,189364.0,40100000000000.0,GroceryStore,,,
1012,04013813200,,,,,,,,,,,,,,,,,
1013,04013813300,80216.0,Bashas' 161,4940 S Gilbert Rd,,Chandler,AZ,85249.0,4552.0,MARICOPA,-111.78947,33.234734,80217.0,40100000000000.0,GroceryStore,,,
1014,04013813300,226574.0,Sprouts Farmers Market 33,4065 S Gilbert Rd,,Chandler,AZ,85249.0,,MARICOPA,-111.78929,33.240772,226575.0,40100000000000.0,GroceryStore,,,
1015,04013813400,189796.0,FRY'S 668,985 E Riggs Rd,,Chandler,AZ,85249.0,4259.0,MARICOPA,-111.8256,33.218712,189797.0,40100000000000.0,GroceryStore,,,
1016,04013813500,,,,,,,,,,,,,,,,,
1017,04013813600,,,,,,,,,,,,,,,,,
1018,04013813700,,,,,,,,,,,,,,,,,
1019,04013813800,,,,,,,,,,,,,,,,,
1020,04013813900,193590.0,Albertsons 1221,2935 E Riggs Rd,,Chandler,AZ,85249.0,3671.0,MARICOPA,-111.79373000000001,33.219109,193591.0,40100000000000.0,GroceryStore,,,
1021,04013814000,,,,,,,,,,,,,,,,,
1022,04013814100,,,,,,,,,,,,,,,,,
1023,04013814200,61915.0,FRY'S 52,855 W Warner Rd,,Gilbert,AZ,85233.0,7267.0,MARICOPA,-111.8084,33.335274,61916.0,40100000000000.0,GroceryStore,,,
